Experience_Years,Education,Management_Role,Salary_USD
1,Bachelor,No,30000
1,Bachelor,No,31000
1,Master,No,32000
2,Bachelor,No,34000
2,Bachelor,No,35000
2,Master,No,36000
3,Bachelor,No,40000
3,Bachelor,No,41000
3,PhD,No,45000
4,Bachelor,No,48000
4,Master,No,50000
4,Master,Yes,65000
5,Bachelor,No,52000
5,Bachelor,No,53000
5,Master,Yes,70000
6,Bachelor,No,58000
6,PhD,No,62000
6,Master,Yes,75000
7,Bachelor,No,64000
7,Bachelor,No,65000
7,Master,Yes,82000
8,Bachelor,No,70000
8,PhD,No,76000
8,Master,Yes,90000
9,Bachelor,No,75000
9,Master,No,80000
9,PhD,Yes,105000
10,Bachelor,No,82000
10,Bachelor,Yes,100000
10,Master,Yes,110000
11,Bachelor,No,88000
11,Master,No,92000
11,PhD,Yes,125000
12,Bachelor,No,95000
12,Master,Yes,130000
12,PhD,Yes,135000
13,Bachelor,No,100000
13,Master,No,105000
13,PhD,Yes,145000
14,Bachelor,No,108000
14,Master,Yes,150000
14,PhD,Yes,155000
15,Bachelor,No,115000
15,Master,No,120000
15,PhD,Yes,165000
16,Bachelor,Yes,140000
17,Master,Yes,175000
18,PhD,Yes,190000
19,Master,Yes,195000
20,PhD,Yes,210000
